task,epoch,loss,acc,time_s
1,1,0.0952,0.9908,6.5
1,2,0.0785,0.9993,13.0
1,3,0.0770,0.9994,19.4
1,4,0.0775,0.9998,26.0
1,5,0.0770,0.9999,32.4
1,6,0.0784,0.9994,39.0
1,7,0.0766,0.9996,45.5
1,8,0.0776,0.9998,52.0
1,9,0.0755,1.0000,58.5
1,10,0.0757,1.0000,64.8
2,1,0.1562,0.9688,6.3
2,2,0.1056,0.9905,12.5
2,3,0.0902,0.9946,18.6
2,4,0.0851,0.9970,24.8
2,5,0.0860,0.9969,30.9
2,6,0.0794,0.9991,37.1
2,7,0.0769,0.9998,43.3
2,8,0.0772,0.9999,49.5
2,9,0.0764,0.9999,55.7
2,10,0.0767,0.9999,61.9
3,1,0.1186,0.9839,5.7
3,2,0.0839,0.9977,11.5
3,3,0.0814,0.9982,17.3
3,4,0.0800,0.9989,23.0
3,5,0.0775,0.9994,28.7
3,6,0.0777,0.9999,34.5
3,7,0.0756,1.0000,40.3
3,8,0.0778,1.0000,46.1
3,9,0.0757,1.0000,51.8
3,10,0.0755,1.0000,57.5
4,1,0.0983,0.9905,6.2
4,2,0.0792,0.9993,12.4
4,3,0.0762,0.9999,18.7
4,4,0.0750,1.0000,24.8
4,5,0.0760,1.0000,31.0
4,6,0.0749,1.0000,37.2
4,7,0.0756,1.0000,43.5
4,8,0.0774,1.0000,49.8
4,9,0.0771,1.0000,56.1
4,10,0.0775,1.0000,62.4
5,1,0.1413,0.9725,6.0
5,2,0.1013,0.9915,12.1
5,3,0.0908,0.9954,18.3
5,4,0.0834,0.9979,24.3
5,5,0.0774,0.9993,30.4
5,6,0.0780,0.9995,36.6
5,7,0.0774,0.9997,42.6
5,8,0.0771,0.9999,48.7
5,9,0.0760,0.9999,54.7
5,10,0.0754,0.9999,60.6
