task,epoch,loss,acc,time_s
1,1,0.0818,0.9732,2.5
1,2,0.0029,0.9991,5.0
1,3,0.0016,0.9993,7.4
1,4,0.0017,0.9993,9.8
1,5,0.0008,0.9997,12.3
1,6,0.0003,1.0000,14.8
1,7,0.0002,1.0000,17.2
1,8,0.0001,1.0000,19.7
1,9,0.0001,1.0000,22.2
1,10,0.0001,1.0000,24.6
2,1,0.1599,0.9332,2.5
2,2,0.0547,0.9820,5.2
2,3,0.0328,0.9895,7.7
2,4,0.0243,0.9930,10.3
2,5,0.0146,0.9955,12.9
2,6,0.0090,0.9980,15.5
2,7,0.0060,0.9987,18.0
2,8,0.0043,0.9996,20.5
2,9,0.0038,0.9998,23.0
2,10,0.0035,0.9998,25.6
3,1,0.1277,0.9442,2.5
3,2,0.0250,0.9952,5.0
3,3,0.0149,0.9977,7.6
3,4,0.0122,0.9982,10.1
3,5,0.0094,0.9994,12.6
3,6,0.0067,0.9998,15.2
3,7,0.0060,1.0000,17.8
3,8,0.0055,1.0000,20.3
3,9,0.0053,1.0000,22.8
3,10,0.0052,1.0000,25.3
4,1,0.0451,0.9872,3.0
4,2,0.0104,0.9990,6.0
4,3,0.0068,0.9995,9.0
4,4,0.0067,0.9996,12.1
4,5,0.0050,0.9998,15.0
4,6,0.0042,0.9999,18.1
4,7,0.0037,1.0000,21.1
4,8,0.0035,1.0000,24.1
4,9,0.0034,1.0000,27.0
4,10,0.0033,1.0000,30.0
5,1,0.1106,0.9547,3.2
5,2,0.0401,0.9880,6.3
5,3,0.0298,0.9936,9.5
5,4,0.0251,0.9947,12.6
5,5,0.0179,0.9970,15.8
5,6,0.0139,0.9981,18.9
5,7,0.0114,0.9994,22.1
5,8,0.0100,0.9997,25.3
5,9,0.0092,0.9997,28.5
5,10,0.0088,0.9997,31.6
