task,epoch,loss,acc,time_s
1,1,0.0720,0.9870,2.5
1,2,0.0032,0.9988,4.9
1,3,0.0026,0.9991,7.4
1,4,0.0017,0.9991,9.9
1,5,0.0009,0.9997,12.4
1,6,0.0005,0.9997,14.9
1,7,0.0002,1.0000,17.3
1,8,0.0001,1.0000,19.8
1,9,0.0001,1.0000,22.2
1,10,0.0001,1.0000,24.7
2,1,0.1609,0.9304,2.4
2,2,0.0486,0.9835,4.7
2,3,0.0321,0.9892,7.1
2,4,0.0182,0.9943,9.4
2,5,0.0114,0.9963,11.8
2,6,0.0060,0.9984,14.2
2,7,0.0037,0.9991,16.5
2,8,0.0026,0.9997,18.9
2,9,0.0019,0.9998,21.2
2,10,0.0017,0.9998,23.5
3,1,0.0688,0.9750,2.2
3,2,0.0081,0.9977,4.4
3,3,0.0042,0.9984,6.6
3,4,0.0017,0.9996,8.8
3,5,0.0006,0.9999,11.0
3,6,0.0001,1.0000,13.2
3,7,0.0001,1.0000,15.4
3,8,0.0001,1.0000,17.7
3,9,0.0001,1.0000,19.9
3,10,0.0001,1.0000,22.1
4,1,0.0830,0.9668,2.3
4,2,0.0033,0.9990,4.7
4,3,0.0007,0.9999,7.1
4,4,0.0003,0.9999,9.5
4,5,0.0002,1.0000,11.8
4,6,0.0001,1.0000,14.2
4,7,0.0000,1.0000,16.6
4,8,0.0000,1.0000,19.0
4,9,0.0000,1.0000,21.4
4,10,0.0000,1.0000,23.7
5,1,0.1001,0.9614,2.3
5,2,0.0310,0.9897,4.8
5,3,0.0189,0.9945,7.0
5,4,0.0108,0.9970,9.3
5,5,0.0074,0.9975,11.7
5,6,0.0073,0.9975,14.0
5,7,0.0028,0.9995,16.3
5,8,0.0020,0.9996,18.6
5,9,0.0015,0.9997,21.1
5,10,0.0014,0.9998,23.4
