task,epoch,train_loss,train_acc,time_s
1,1,0.0952,0.9908,6.8
1,2,0.0785,0.9993,13.3
1,3,0.0770,0.9994,19.6
1,4,0.0775,0.9998,26.1
1,5,0.0770,0.9999,32.6
1,6,0.0784,0.9994,38.9
1,7,0.0766,0.9996,45.3
1,8,0.0776,0.9998,51.8
1,9,0.0755,1.0000,58.2
1,10,0.0757,1.0000,64.6
2,1,0.1562,0.9688,6.2
2,2,0.1056,0.9905,12.3
2,3,0.0902,0.9946,18.5
2,4,0.0851,0.9970,24.6
2,5,0.0860,0.9969,30.7
2,6,0.0794,0.9991,36.8
2,7,0.0769,0.9998,42.9
2,8,0.0772,0.9999,49.1
2,9,0.0764,0.9999,55.2
2,10,0.0767,0.9999,61.5
3,1,0.1186,0.9839,5.7
3,2,0.0839,0.9977,11.4
3,3,0.0814,0.9982,17.1
3,4,0.0800,0.9989,22.8
3,5,0.0775,0.9994,28.5
3,6,0.0777,0.9999,34.2
3,7,0.0756,1.0000,39.9
3,8,0.0778,1.0000,45.7
3,9,0.0757,1.0000,51.4
3,10,0.0755,1.0000,57.2
4,1,0.0983,0.9905,6.2
4,2,0.0792,0.9993,12.3
4,3,0.0762,0.9999,18.5
4,4,0.0750,1.0000,24.5
4,5,0.0760,1.0000,30.7
4,6,0.0749,1.0000,36.8
4,7,0.0756,1.0000,42.8
4,8,0.0774,1.0000,49.0
4,9,0.0771,1.0000,55.1
4,10,0.0775,1.0000,61.3
5,1,0.1413,0.9725,6.0
5,2,0.1013,0.9915,11.9
5,3,0.0908,0.9954,17.8
5,4,0.0834,0.9979,23.9
5,5,0.0774,0.9993,29.7
5,6,0.0780,0.9995,35.6
5,7,0.0774,0.9997,41.6
5,8,0.0771,0.9999,47.6
5,9,0.0760,0.9999,53.5
5,10,0.0754,0.9999,59.4
