task,epoch,train_loss,train_acc,time_s
1,1,0.0725,0.9907,2.5
1,2,0.0046,0.9986,5.0
1,3,0.0018,0.9993,7.6
1,4,0.0014,0.9994,10.2
1,5,0.0008,0.9998,12.7
1,6,0.0005,0.9998,15.3
1,7,0.0002,1.0000,17.8
1,8,0.0001,1.0000,20.4
1,9,0.0001,1.0000,23.0
1,10,0.0001,1.0000,25.6
2,1,0.1560,0.9350,2.4
2,2,0.0514,0.9813,4.8
2,3,0.0308,0.9889,7.2
2,4,0.0191,0.9930,9.6
2,5,0.0114,0.9967,12.0
2,6,0.0066,0.9983,14.4
2,7,0.0037,0.9993,16.8
2,8,0.0025,0.9997,19.2
2,9,0.0019,0.9998,21.6
2,10,0.0017,0.9999,24.0
3,1,0.0755,0.9729,2.3
3,2,0.0096,0.9969,4.5
3,3,0.0036,0.9991,6.8
3,4,0.0013,0.9997,9.0
3,5,0.0005,1.0000,11.2
3,6,0.0001,1.0000,13.4
3,7,0.0001,1.0000,15.7
3,8,0.0001,1.0000,18.0
3,9,0.0001,1.0000,20.2
3,10,0.0001,1.0000,22.5
4,1,0.0778,0.9674,2.5
4,2,0.0023,0.9992,4.9
4,3,0.0008,0.9997,7.3
4,4,0.0002,1.0000,9.7
4,5,0.0001,1.0000,12.2
4,6,0.0001,1.0000,14.5
4,7,0.0000,1.0000,16.9
4,8,0.0000,1.0000,19.3
4,9,0.0000,1.0000,21.8
4,10,0.0000,1.0000,24.2
5,1,0.1091,0.9585,2.3
5,2,0.0303,0.9895,4.7
5,3,0.0198,0.9939,7.1
5,4,0.0124,0.9963,9.4
5,5,0.0078,0.9978,11.8
5,6,0.0055,0.9984,14.1
5,7,0.0036,0.9992,16.5
5,8,0.0028,0.9997,18.9
5,9,0.0023,0.9996,21.2
5,10,0.0022,0.9997,23.5
