task,epoch,loss,acc,time_s
1,1,0.7789,0.9921,7.3
1,2,0.7503,0.9991,13.5
1,3,0.7570,0.9990,19.7
1,4,0.7731,0.9996,26.1
1,5,0.7601,0.9998,32.6
1,6,0.7605,0.9997,39.0
1,7,0.7559,0.9999,45.4
1,8,0.7674,0.9997,51.9
1,9,0.7541,0.9999,58.4
1,10,0.7519,0.9999,64.7
1,11,0.7638,1.0000,71.2
1,12,0.7678,1.0000,77.6
1,13,0.7618,1.0000,83.8
1,14,0.7536,1.0000,90.1
1,15,0.7576,1.0000,96.5
1,16,0.7597,1.0000,102.9
1,17,0.7556,1.0000,109.3
1,18,0.7475,1.0000,115.6
1,19,0.7617,1.0000,122.0
1,20,0.7495,1.0000,128.3
1,21,0.7697,1.0000,134.6
1,22,0.7596,1.0000,140.9
1,23,0.7577,1.0000,147.3
1,24,0.7717,1.0000,153.7
1,25,0.7698,1.0000,160.2
2,1,0.8660,0.9624,6.1
2,2,0.7850,0.9907,12.2
2,3,0.7875,0.9955,18.3
2,4,0.7502,0.9976,24.3
2,5,0.7675,0.9976,30.4
2,6,0.7689,0.9975,36.6
2,7,0.7541,0.9983,42.6
2,8,0.7601,0.9984,48.7
2,9,0.7559,0.9990,54.9
2,10,0.7443,0.9993,61.0
2,11,0.7571,0.9992,67.0
2,12,0.7499,0.9990,73.1
2,13,0.7451,1.0000,79.1
2,14,0.7683,1.0000,85.2
2,15,0.7619,1.0000,91.3
2,16,0.7737,1.0000,97.4
2,17,0.7534,1.0000,103.5
2,18,0.7682,1.0000,109.7
2,19,0.7619,1.0000,115.8
2,20,0.7661,1.0000,122.0
2,21,0.7683,1.0000,128.1
2,22,0.7513,1.0000,134.1
2,23,0.7598,1.0000,140.3
2,24,0.7640,1.0000,146.4
2,25,0.7534,1.0000,152.6
3,1,0.7836,0.9806,5.6
3,2,0.7599,0.9982,11.2
3,3,0.7686,0.9988,17.0
3,4,0.7620,0.9997,22.8
3,5,0.7495,0.9994,28.4
3,6,0.7588,0.9992,34.0
3,7,0.7683,0.9996,39.7
3,8,0.7436,0.9999,45.2
3,9,0.7477,1.0000,50.7
3,10,0.7545,1.0000,56.4
3,11,0.7387,1.0000,61.9
3,12,0.7545,1.0000,67.6
3,13,0.7522,1.0000,73.1
3,14,0.7636,1.0000,78.9
3,15,0.7408,1.0000,84.5
3,16,0.7613,1.0000,90.3
3,17,0.7658,1.0000,96.0
3,18,0.7454,1.0000,101.6
3,19,0.7567,1.0000,107.3
3,20,0.7545,1.0000,113.1
3,21,0.7681,1.0000,118.7
3,22,0.7522,1.0000,124.3
3,23,0.7681,1.0000,130.1
3,24,0.7636,1.0000,135.7
3,25,0.7545,1.0000,141.3
4,1,0.7968,0.9823,6.2
4,2,0.7516,0.9995,12.4
4,3,0.7659,0.9996,18.5
4,4,0.7700,0.9995,24.7
4,5,0.7560,0.9999,30.8
4,6,0.7596,1.0000,36.9
4,7,0.7495,1.0000,43.0
4,8,0.7684,1.0000,49.0
4,9,0.7705,1.0000,55.2
4,10,0.7470,1.0000,61.1
4,11,0.7642,1.0000,67.2
4,12,0.7663,1.0000,73.2
4,13,0.7516,1.0000,79.2
4,14,0.7705,1.0000,85.3
4,15,0.7537,1.0000,91.3
4,16,0.7495,1.0000,97.4
4,17,0.7600,1.0000,103.5
4,18,0.7536,1.0000,109.5
4,19,0.7764,1.0000,115.7
4,20,0.7746,1.0000,122.0
4,21,0.7662,1.0000,128.1
4,22,0.7617,1.0000,134.2
4,23,0.7536,1.0000,140.2
4,24,0.7704,1.0000,146.2
4,25,0.7557,1.0000,152.3
5,1,0.7959,0.9800,5.7
5,2,0.7725,0.9943,11.5
5,3,0.7647,0.9958,17.4
5,4,0.7651,0.9973,23.3
5,5,0.7560,0.9989,29.1
5,6,0.7640,0.9997,35.0
5,7,0.7547,0.9997,40.8
5,8,0.7657,0.9992,46.6
5,9,0.7582,0.9994,52.4
5,10,0.7677,0.9999,58.4
5,11,0.7732,0.9997,64.4
5,12,0.7642,0.9997,70.3
5,13,0.7525,0.9994,76.1
5,14,0.7633,0.9999,82.0
5,15,0.7609,1.0000,87.9
5,16,0.7717,1.0000,93.8
5,17,0.7543,1.0000,99.6
5,18,0.7674,1.0000,105.5
5,19,0.7500,1.0000,111.3
5,20,0.7652,1.0000,117.3
5,21,0.7500,1.0000,123.2
5,22,0.7647,1.0000,129.1
5,23,0.7521,1.0000,135.0
5,24,0.7409,1.0000,140.9
5,25,0.7517,1.0000,146.7
