task,epoch,loss,acc,time_s
1,1,0.0755,0.9763,2.5
1,2,0.0041,0.9988,5.0
1,3,0.0027,0.9989,7.5
1,4,0.0017,0.9994,10.0
1,5,0.0021,0.9992,12.6
1,6,0.0014,0.9995,15.1
1,7,0.0008,0.9998,17.5
1,8,0.0005,0.9998,20.0
1,9,0.0002,1.0000,22.5
1,10,0.0000,1.0000,24.9
1,11,0.0000,1.0000,27.4
1,12,0.0000,1.0000,29.9
1,13,0.0000,1.0000,32.4
1,14,0.0000,1.0000,34.9
1,15,0.0000,1.0000,37.4
1,16,0.0000,1.0000,40.0
1,17,0.0000,1.0000,42.5
1,18,0.0000,1.0000,45.0
1,19,0.0000,1.0000,47.5
1,20,0.0000,1.0000,50.0
1,21,0.0000,1.0000,52.5
1,22,0.0000,1.0000,55.1
1,23,0.0000,1.0000,57.6
1,24,0.0000,1.0000,60.1
1,25,0.0000,1.0000,62.6
2,1,0.1726,0.9196,2.6
2,2,0.0490,0.9820,5.1
2,3,0.0271,0.9908,7.6
2,4,0.0191,0.9935,10.1
2,5,0.0111,0.9966,12.7
2,6,0.0066,0.9980,15.3
2,7,0.0031,0.9991,17.8
2,8,0.0022,0.9997,20.3
2,9,0.0014,0.9997,22.9
2,10,0.0013,0.9997,25.5
2,11,0.0004,1.0000,28.0
2,12,0.0001,1.0000,30.5
2,13,0.0001,1.0000,33.0
2,14,0.0001,1.0000,35.6
2,15,0.0000,1.0000,38.2
2,16,0.0000,1.0000,40.7
2,17,0.0000,1.0000,43.2
2,18,0.0000,1.0000,45.8
2,19,0.0000,1.0000,48.3
2,20,0.0000,1.0000,50.8
2,21,0.0000,1.0000,53.4
2,22,0.0000,1.0000,55.9
2,23,0.0000,1.0000,58.5
2,24,0.0000,1.0000,61.0
2,25,0.0000,1.0000,63.5
3,1,0.1392,0.9309,2.5
3,2,0.0059,0.9981,5.0
3,3,0.0018,0.9996,7.6
3,4,0.0009,0.9996,10.1
3,5,0.0019,0.9992,12.6
3,6,0.0008,0.9998,15.1
3,7,0.0009,0.9997,17.6
3,8,0.0000,1.0000,20.1
3,9,0.0000,1.0000,22.7
3,10,0.0000,1.0000,25.2
3,11,0.0000,1.0000,27.9
3,12,0.0000,1.0000,30.4
3,13,0.0000,1.0000,32.9
3,14,0.0000,1.0000,35.4
3,15,0.0000,1.0000,38.0
3,16,0.0000,1.0000,40.5
3,17,0.0000,1.0000,43.1
3,18,0.0000,1.0000,45.6
3,19,0.0000,1.0000,48.2
3,20,0.0000,1.0000,50.7
3,21,0.0000,1.0000,53.2
3,22,0.0000,1.0000,55.7
3,23,0.0000,1.0000,58.2
3,24,0.0000,1.0000,60.7
3,25,0.0000,1.0000,63.2
4,1,0.0861,0.9568,2.9
4,2,0.0035,0.9989,5.9
4,3,0.0015,0.9995,8.8
4,4,0.0014,0.9995,11.8
4,5,0.0001,1.0000,14.7
4,6,0.0000,1.0000,17.6
4,7,0.0000,1.0000,20.5
4,8,0.0000,1.0000,23.4
4,9,0.0000,1.0000,26.2
4,10,0.0000,1.0000,29.2
4,11,0.0000,1.0000,32.1
4,12,0.0000,1.0000,35.0
4,13,0.0000,1.0000,37.9
4,14,0.0000,1.0000,40.9
4,15,0.0000,1.0000,43.8
4,16,0.0000,1.0000,46.7
4,17,0.0000,1.0000,49.6
4,18,0.0000,1.0000,52.6
4,19,0.0000,1.0000,55.5
4,20,0.0000,1.0000,58.4
4,21,0.0000,1.0000,61.3
4,22,0.0000,1.0000,64.2
4,23,0.0000,1.0000,67.1
4,24,0.0000,1.0000,70.0
4,25,0.0000,1.0000,72.9
5,1,0.0929,0.9654,3.1
5,2,0.0341,0.9886,6.3
5,3,0.0201,0.9937,9.4
5,4,0.0142,0.9956,12.5
5,5,0.0096,0.9969,15.7
5,6,0.0046,0.9986,18.8
5,7,0.0031,0.9995,22.0
5,8,0.0017,0.9996,25.1
5,9,0.0022,0.9996,28.1
5,10,0.0009,0.9999,31.2
5,11,0.0006,0.9999,34.3
5,12,0.0003,1.0000,37.4
5,13,0.0002,0.9999,40.5
5,14,0.0001,1.0000,43.6
5,15,0.0000,1.0000,46.7
5,16,0.0000,1.0000,49.8
5,17,0.0000,1.0000,52.9
5,18,0.0000,1.0000,56.0
5,19,0.0000,1.0000,59.1
5,20,0.0000,1.0000,62.2
5,21,0.0000,1.0000,65.4
5,22,0.0000,1.0000,68.6
5,23,0.0000,1.0000,71.7
5,24,0.0000,1.0000,74.8
5,25,0.0000,1.0000,77.9
