task,epoch,loss,acc,time_s
1,1,0.0769,0.9779,2.5
1,2,0.0027,0.9991,5.0
1,3,0.0039,0.9987,7.5
1,4,0.0017,0.9994,10.0
1,5,0.0011,0.9997,12.5
1,6,0.0010,0.9998,15.0
1,7,0.0008,0.9997,17.4
1,8,0.0002,0.9999,19.9
1,9,0.0012,0.9996,22.4
1,10,0.0001,1.0000,24.8
1,11,0.0000,1.0000,27.3
1,12,0.0000,1.0000,29.8
1,13,0.0000,1.0000,32.3
1,14,0.0000,1.0000,34.7
1,15,0.0000,1.0000,37.2
1,16,0.0000,1.0000,39.6
1,17,0.0000,1.0000,42.1
1,18,0.0000,1.0000,44.6
1,19,0.0000,1.0000,47.2
1,20,0.0000,1.0000,49.7
1,21,0.0000,1.0000,52.2
1,22,0.0000,1.0000,54.7
1,23,0.0000,1.0000,57.2
1,24,0.0000,1.0000,59.7
1,25,0.0000,1.0000,62.3
2,1,0.1780,0.9198,2.3
2,2,0.0492,0.9831,4.6
2,3,0.0281,0.9906,6.9
2,4,0.0159,0.9944,9.3
2,5,0.0095,0.9969,11.7
2,6,0.0053,0.9985,14.1
2,7,0.0034,0.9988,16.4
2,8,0.0038,0.9988,18.8
2,9,0.0045,0.9984,21.2
2,10,0.0023,0.9993,23.6
2,11,0.0004,0.9999,25.9
2,12,0.0001,1.0000,28.3
2,13,0.0001,1.0000,30.7
2,14,0.0001,1.0000,33.1
2,15,0.0001,1.0000,35.4
2,16,0.0000,1.0000,37.7
2,17,0.0000,1.0000,40.1
2,18,0.0000,1.0000,42.4
2,19,0.0000,1.0000,44.8
2,20,0.0000,1.0000,47.1
2,21,0.0000,1.0000,49.4
2,22,0.0000,1.0000,51.8
2,23,0.0000,1.0000,54.2
2,24,0.0000,1.0000,56.6
2,25,0.0000,1.0000,59.0
3,1,0.1119,0.9454,2.2
3,2,0.0071,0.9979,4.5
3,3,0.0043,0.9986,6.7
3,4,0.0011,0.9996,8.9
3,5,0.0002,1.0000,11.2
3,6,0.0001,1.0000,13.4
3,7,0.0000,1.0000,15.6
3,8,0.0000,1.0000,17.8
3,9,0.0000,1.0000,20.0
3,10,0.0000,1.0000,22.2
3,11,0.0000,1.0000,24.4
3,12,0.0000,1.0000,26.6
3,13,0.0000,1.0000,28.8
3,14,0.0000,1.0000,31.1
3,15,0.0000,1.0000,33.2
3,16,0.0000,1.0000,35.4
3,17,0.0000,1.0000,37.6
3,18,0.0000,1.0000,39.8
3,19,0.0000,1.0000,42.0
3,20,0.0000,1.0000,44.2
3,21,0.0000,1.0000,46.4
3,22,0.0000,1.0000,48.5
3,23,0.0000,1.0000,50.7
3,24,0.0000,1.0000,53.0
3,25,0.0000,1.0000,55.3
4,1,0.0574,0.9783,2.4
4,2,0.0026,0.9992,4.9
4,3,0.0008,0.9999,7.2
4,4,0.0005,0.9999,9.7
4,5,0.0004,0.9999,12.0
4,6,0.0003,0.9998,14.4
4,7,0.0013,0.9993,16.8
4,8,0.0014,0.9993,19.2
4,9,0.0004,0.9998,21.6
4,10,0.0003,0.9998,23.9
4,11,0.0000,1.0000,26.3
4,12,0.0000,1.0000,28.7
4,13,0.0000,1.0000,31.0
4,14,0.0000,1.0000,33.4
4,15,0.0000,1.0000,35.8
4,16,0.0000,1.0000,38.3
4,17,0.0000,1.0000,40.8
4,18,0.0000,1.0000,43.1
4,19,0.0000,1.0000,45.5
4,20,0.0000,1.0000,48.0
4,21,0.0000,1.0000,50.4
4,22,0.0000,1.0000,52.9
4,23,0.0000,1.0000,55.3
4,24,0.0000,1.0000,57.8
4,25,0.0000,1.0000,60.2
5,1,0.1173,0.9553,2.4
5,2,0.0351,0.9883,4.8
5,3,0.0229,0.9925,7.2
5,4,0.0159,0.9953,9.6
5,5,0.0093,0.9965,12.0
5,6,0.0062,0.9984,14.3
5,7,0.0031,0.9986,16.7
5,8,0.0019,0.9997,19.0
5,9,0.0006,0.9999,21.4
5,10,0.0002,1.0000,23.7
5,11,0.0001,1.0000,26.0
5,12,0.0001,1.0000,28.4
5,13,0.0000,1.0000,30.7
5,14,0.0000,1.0000,33.1
5,15,0.0000,1.0000,35.5
5,16,0.0000,1.0000,37.9
5,17,0.0000,1.0000,40.2
5,18,0.0000,1.0000,42.6
5,19,0.0000,1.0000,45.0
5,20,0.0000,1.0000,47.4
5,21,0.0000,1.0000,49.7
5,22,0.0000,1.0000,52.1
5,23,0.0000,1.0000,54.3
5,24,0.0000,1.0000,56.7
5,25,0.0000,1.0000,59.0
